index,path,bank,size,census_blob_sha1,actual_blob_sha1,blob_match,status,detail,elapsed_ms,engine_commit,sample_rate
70,resources/data/patches_3rdparty/Altenberg/Basses/Boog.fxp,contributor,34136,d420acd5935a45d92051d484944622ca8152e5ca,d420acd5935a45d92051d484944622ca8152e5ca,True,ok,,10,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
71,resources/data/patches_3rdparty/Altenberg/Basses/Burial.fxp,contributor,34037,caab976662e6f4effa4a158f666cbc665a07c540,caab976662e6f4effa4a158f666cbc665a07c540,True,ok,,8,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
72,resources/data/patches_3rdparty/Altenberg/Basses/Digivex.fxp,contributor,34719,ea28a4663d1bfc792f9334d3583e76f987cbf261,ea28a4663d1bfc792f9334d3583e76f987cbf261,True,ok,,11,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
73,resources/data/patches_3rdparty/Altenberg/Basses/Hate.fxp,contributor,33754,cd6cdeda0e1d9c6420dfd354a820684b38f9a28f,cd6cdeda0e1d9c6420dfd354a820684b38f9a28f,True,ok,,6,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
74,resources/data/patches_3rdparty/Altenberg/Basses/Mammoth.fxp,contributor,34088,b7d30da8215e032353bc530d7a473373220f9186,b7d30da8215e032353bc530d7a473373220f9186,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
75,resources/data/patches_3rdparty/Altenberg/Basses/Neuro.fxp,contributor,66558,8ce961f20bb762667eea6d661621f76d84a349b7,8ce961f20bb762667eea6d661621f76d84a349b7,True,ok,,5,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
76,resources/data/patches_3rdparty/Altenberg/Basses/Orbit.fxp,contributor,32915,4b3aba734d59595200d2dee17f602723dac94f25,4b3aba734d59595200d2dee17f602723dac94f25,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
77,resources/data/patches_3rdparty/Altenberg/Basses/Piercing.fxp,contributor,32214,d02d14ea299bf15a113c10c3b5aef6f98f40df55,d02d14ea299bf15a113c10c3b5aef6f98f40df55,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
78,resources/data/patches_3rdparty/Altenberg/Basses/Rampage.fxp,contributor,31987,bdc490f4fd5c19e4c1f2001b6e8255c8fa409af4,bdc490f4fd5c19e4c1f2001b6e8255c8fa409af4,True,ok,,9,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
79,resources/data/patches_3rdparty/Altenberg/Basses/Rounded.fxp,contributor,30580,4403d52200f19737cdd9a355b4aeb474b81bb3e3,4403d52200f19737cdd9a355b4aeb474b81bb3e3,True,ok,,5,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
80,resources/data/patches_3rdparty/Altenberg/Basses/Useful.fxp,contributor,32740,bf4dc13f90c3c8d7197fae38894e8186cd738f6c,bf4dc13f90c3c8d7197fae38894e8186cd738f6c,True,ok,,2,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
81,resources/data/patches_3rdparty/Altenberg/Basses/Waw.fxp,contributor,82078,43d1757b51b91af74931a106e968970eadd342b1,43d1757b51b91af74931a106e968970eadd342b1,True,ok,,6,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
82,resources/data/patches_3rdparty/Altenberg/Drums/Closed Hat.fxp,contributor,32299,b097ef183b3d7702b1d2cfc25323e15247fa535a,b097ef183b3d7702b1d2cfc25323e15247fa535a,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
